"id","numero_serie","tension_r","corriente_r","potencia_a_r","potencia_r_r","tension_s","corriente_s","potencia_a_s","potencia_r_s","tension_t","corriente_t","potencia_a_t","potencia_r_t","temporal_placa","temporal_server","update"
6986,"28562F612CC4","221.8870087000","12.2484827000","347.9582214000","2677.5131840000","222.2731781000","23.9429988900","1682.5919190000","5040.2783200000","224.6420288000","27.2197666200","5766.0805660000","1985.8820800000","2025-12-30 11:55:33-03","2025-12-30 11:55:34-03",NULL
6987,"28562F612CC4","222.6982880000","12.3889989900","337.9102173000","2717.5817870000","222.7435150000","24.0750351000","1685.4459230000","5080.4658200000","225.1972504000","27.3464069400","5781.8579100000","2063.3330080000","2025-12-30 11:56:01-03","2025-12-30 11:56:02-03",NULL
5091,"28562F612CC4","225.4119415000","13.0832710300","361.5964661000","2875.8808590000","225.6762085000","24.4740619700","1711.8990480000","5220.6840820000","227.8908081000","28.2092037200","5978.9794920000","2247.7783200000","2025-12-30 00:00:01-03","2025-12-30 00:00:01-03",NULL
5092,"28562F612CC4","225.2820892000","13.0716342900","366.7465515000","2871.3308110000","225.4639893000","24.4248046900","1706.5294190000","5205.2231450000","227.6102600000","28.2391471900","5976.2797850000","2253.7670900000","2025-12-30 00:00:31-03","2025-12-30 00:00:31-03",NULL
5093,"28562F612CC4","225.5220032000","13.1676635700","356.6714783000","2899.5058590000","225.7894135000","24.5390110000","1725.0098880000","5236.3125000000","227.9396057000","28.2585659000","5985.6992190000","2279.1140140000","2025-12-30 00:01:01-03","2025-12-30 00:01:01-03",NULL
5094,"28562F612CC4","226.2476807000","13.1879196200","364.7875366000","2912.2946780000","226.3228760000","24.6221752200","1731.1834720000","5265.8637700000","228.2931519000","28.4795398700","6042.9882810000","2299.1472170000","2025-12-30 00:01:31-03","2025-12-30 00:01:32-03",NULL
5096,"28562F612CC4","225.7702942000","13.1012306200","363.6553345000","2884.3740230000","225.9368134000","24.5489921600","1709.5471190000","5245.0625000000","228.0051880000","28.3248519900","6007.3256840000","2256.0468750000","2025-12-30 00:02:02-03","2025-12-30 00:02:02-03",NULL
5097,"28562F612CC4","226.1303101000","13.2806444200","375.0119019000","2931.9135740000","226.0898895000","24.4758415200","1754.8492430000","5218.1547850000","228.2068481000","28.3645763400","5994.4687500000","2344.2006840000","2025-12-30 00:02:32-03","2025-12-30 00:02:32-03",NULL
5098,"28562F612CC4","225.3809509000","13.1103906600","363.8187256000","2886.0825200000","225.7148438000","24.2820148500","1741.9617920000","5168.6254880000","227.6385345000","28.0437774700","5925.0830080000","2277.5786130000","2025-12-30 00:03:02-03","2025-12-30 00:03:03-03",NULL
5100,"28562F612CC4","225.2639771000","13.0401535000","360.0085754000","2870.3229980000","225.2890015000","24.2583065000","1740.9421390000","5153.5649410000","227.3264923000","27.8681430800","5884.7226560000","2252.1010740000","2025-12-30 00:03:33-03","2025-12-30 00:03:33-03",NULL
5102,"28562F612CC4","225.6745605000","13.0676841700","356.1449585000","2882.8500980000","225.7392578000","24.4787960100","1751.6507570000","5214.2436520000","227.6627045000","28.0000591300","5930.7016600000","2243.5617680000","2025-12-30 00:04:03-03","2025-12-30 00:04:03-03",NULL
5103,"28562F612CC4","225.5642090000","13.1655263900","366.2231445000","2906.5529790000","225.7510071000","24.4006805400","1758.2093510000","5197.6049800000","228.0878906000","28.0532779700","5945.5644530000","2284.1672360000","2025-12-30 00:04:31-03","2025-12-30 00:04:31-03",NULL
5104,"28562F612CC4","226.3859253000","13.2863817200","367.5720520000","2936.3886720000","226.2803192000","24.5633773800","1758.1534420000","5244.5541990000","228.5142212000","28.3192749000","5994.4111330000","2338.2587890000","2025-12-30 00:05:01-03","2025-12-30 00:05:01-03",NULL
5105,"28562F612CC4","226.5697174000","13.4205541600","363.2587585000","2975.8474120000","227.1349487000","24.8566608400","1774.6330570000","5334.8540040000","229.2842560000","28.6580696100","6098.6157230000","2364.9060060000","2025-12-30 00:05:31-03","2025-12-30 00:05:32-03",NULL
5106,"28562F612CC4","227.3082733000","13.4723386800","357.5155029000","2988.7360840000","227.7758484000","24.8467865000","1798.8029790000","5333.9169920000","229.4407654000","28.5606670400","6055.9194340000","2388.9675290000","2025-12-30 00:06:02-03","2025-12-30 00:06:02-03",NULL
5108,"28562F612CC4","225.7016754000","13.2825422300","385.3209839000","2924.2954100000","225.9888763000","24.3432350200","1770.2734380000","5179.5180660000","228.4277191000","28.2131614700","5972.5546880000","2319.9697270000","2025-12-30 00:06:32-03","2025-12-30 00:06:32-03",NULL
5109,"28562F612CC4","225.6400909000","13.2070264800","369.2013855000","2913.9885250000","226.0625000000","24.3353481300","1756.8337400000","5188.4858400000","228.2674408000","28.0888919800","5946.5849610000","2308.6032710000","2025-12-30 00:07:02-03","2025-12-30 00:07:03-03",NULL
5110,"28562F612CC4","226.1380157000","13.5414648100","598.1398315000","2953.6960450000","226.5742188000","24.8096618700","2211.7834470000","5135.8745120000","228.5690308000","28.6379375500","6225.1508790000","1892.0792240000","2025-12-30 00:07:33-03","2025-12-30 00:07:33-03",NULL
5112,"28562F612CC4","224.9391174000","13.1080684700","373.8251038000","2881.8139650000","225.4225159000","24.0205440500","1744.8312990000","5099.4516600000","227.2234039000","27.9200382200","5879.4707030000","2291.7182620000","2025-12-30 00:08:03-03","2025-12-30 00:08:03-03",NULL
5113,"28562F612CC4","224.3313599000","12.9956941600","355.9031677000","2858.2404790000","224.6984863000","23.8949794800","1729.1417240000","5062.3076170000","226.5958862000","27.6782093000","5815.4077150000","2276.2749020000","2025-12-30 00:08:31-03","2025-12-30 00:08:31-03",NULL
5114,"28562F612CC4","224.6894836000","13.1034374200","353.9624939000","2882.0571290000","225.1446533000","24.1458416000","1721.7711180000","5131.6552730000","227.2090607000","27.8871994000","5870.9702150000","2295.1853030000","2025-12-30 00:09:01-03","2025-12-30 00:09:01-03",NULL
5120,"28562F612CC4","225.9676666000","13.2388553600","359.4247437000","2925.8942870000","226.3751068000","24.4130439800","1761.6743160000","5209.6767580000","228.1509399000","28.1747322100","5956.0004880000","2324.6188960000","2025-12-30 00:09:31-03","2025-12-30 00:09:32-03",NULL
5122,"28562F612CC4","225.4267273000","13.0982561100","329.5683289000","2898.6381840000","225.8791199000","24.5182838400","1770.6717530000","5226.7124020000","227.5415649000","27.9115238200","5908.1958010000","2257.6330570000","2025-12-30 00:10:02-03","2025-12-30 00:10:02-03",NULL
5123,"28562F612CC4","225.5747070000","13.1474294700","349.6949158000","2899.1005860000","225.7498474000","24.5084476500","1785.0482180000","5207.6206050000","227.9062195000","27.8550491300","5895.4399410000","2250.5131840000","2025-12-30 00:10:32-03","2025-12-30 00:10:32-03",NULL
