"id","numero_serie","tension_r","corriente_r","potencia_a_r","potencia_r_r","tension_s","corriente_s","potencia_a_s","potencia_r_s","tension_t","corriente_t","potencia_a_t","potencia_r_t","temporal_placa","temporal_server","update"
5335,"28562F60A8D8","226.6669006000","16.3338871000","597.1480713000","3645.7651370000","227.0961304000","17.3706493400","586.0330200000","3889.9016110000","229.2497253000","17.2358074200","792.3382568000","3864.4897460000","2025-12-30 00:11:35-03","2025-12-30 05:02:02-03",NULL
5336,"28562F60A8D8","224.5409241000","32.1140365600","5967.9736330000","4041.3220210000","224.7093201000","32.4934730500","6024.5644530000","4115.9086910000","226.9181213000","32.7845001200","6175.0830080000","4139.7744140000","2025-12-30 00:12:03-03","2025-12-30 05:02:02-03",NULL
5337,"28562F60A8D8","226.0760956000","21.3731765700","3103.0981450000","3698.9653320000","226.3460999000","21.9150543200","3110.9624020000","3854.7216800000","228.4993896000","22.2415542600","3292.3029790000","3865.2177730000","2025-12-30 00:12:33-03","2025-12-30 05:02:02-03",NULL
5338,"28562F60A8D8","226.8831787000","16.2854843100","587.9698486000","3641.5090330000","227.4116821000","17.4182796500","590.9149170000","3907.9804690000","229.5593262000","17.2077579500","809.3660278000","3861.7233890000","2025-12-30 00:13:01-03","2025-12-30 05:02:02-03",NULL
5339,"28562F60A8D8","226.4423676000","16.2155609100","585.5078735000","3618.5258790000","226.7905731000","17.3506031000","584.3078003000","3882.3049320000","228.9249573000","17.1340141300","804.7015991000","3834.2204590000","2025-12-30 00:13:31-03","2025-12-30 05:02:03-03",NULL
5340,"28562F60A8D8","227.8598938000","16.3902397200","587.0109863000","3681.1079100000","228.1461792000","17.6714305900","585.9244385000","3978.6604000000","230.4302063000","17.4388523100","834.7846680000","3925.0756840000","2025-12-30 00:14:04-03","2025-12-30 05:02:03-03",NULL
5341,"28562F60A8D8","226.0797577000","16.0695381200","599.0933228000","3576.1301270000","226.3240356000","17.1680965400","570.7609863000","3833.1777340000","228.8421936000","17.0737381000","801.0172729000","3818.6352540000","2025-12-30 00:14:32-03","2025-12-30 05:02:03-03",NULL
5342,"28562F60A8D8","227.1846313000","16.3519725800","597.8634644000","3658.5878910000","227.3725891000","17.3971080800","582.7056885000","3901.3957520000","229.4268646000","17.2541694600","790.5048828000","3872.2006840000","2025-12-30 00:15:02-03","2025-12-30 05:02:03-03",NULL
5343,"28562F60A8D8","227.8329926000","16.5037727400","595.0712280000","3704.3593750000","227.9682617000","17.6124229400","601.7278442000","3958.4304200000","230.1561127000","17.3923873900","812.7986450000","3913.1313480000","2025-12-30 00:15:33-03","2025-12-30 05:02:03-03",NULL
5344,"28562F60A8D8","226.8097839000","18.7579841600","2137.8559570000","3671.8752440000","227.1023712000","19.4293670700","2125.1276860000","3856.8195800000","229.4809723000","19.7161254900","2318.7978520000","3878.3637700000","2025-12-30 00:16:03-03","2025-12-30 05:02:04-03",NULL
5345,"28562F60A8D8","227.4579315000","17.3386707300","1427.0035400000","3669.9350590000","227.3254395000","18.0724391900","1399.8941650000","3852.5356450000","229.6893005000","18.2384204900","1586.4725340000","3871.5332030000","2025-12-30 00:16:31-03","2025-12-30 05:02:04-03",NULL
5346,"28562F60A8D8","228.8205566000","16.7606220200","613.7827148000","3776.9597170000","228.9591522000","17.7659282700","603.2214355000","4010.4223630000","231.0190582000","17.6662979100","799.8337402000","3994.8718260000","2025-12-30 00:17:01-03","2025-12-30 05:02:04-03",NULL
5347,"28562F60A8D8","228.2382965000","16.6279716500","615.4047241000","3736.7324220000","228.5142517000","17.6057968100","596.2514648000","3967.3576660000","230.6510162000","17.5419654800","794.5005493000","3961.0639650000","2025-12-30 00:17:32-03","2025-12-30 05:02:04-03",NULL
5348,"28562F60A8D8","228.4084320000","16.5901966100","621.6748047000","3729.7941890000","228.3611298000","17.5920276600","586.5814819000","3962.9240720000","230.3893433000","17.5518894200","800.7509155000","3957.4875490000","2025-12-30 00:18:04-03","2025-12-30 05:02:04-03",NULL
5349,"28562F60A8D8","228.3498688000","16.6219902000","608.5840454000","3737.2507320000","228.2058411000","17.6280555700","597.5124512000","3965.0444340000","230.7527924000","17.5213298800","800.1536255000","3954.9262700000","2025-12-30 00:18:32-03","2025-12-30 05:02:05-03",NULL
5350,"28562F60A8D8","226.8858643000","22.1432018300","3374.9555660000","3715.3613280000","226.8739624000","22.6146240200","3348.3317870000","3877.6281740000","229.4745178000","23.1561489100","3565.5434570000","3932.5520020000","2025-12-30 00:19:03-03","2025-12-30 05:02:05-03",NULL
5351,"28562F60A8D8","228.1664429000","18.7611484500","2142.0607910000","3698.8020020000","228.0338440000","19.3698139200","2100.0871580000","3874.2346190000","230.5970306000","19.7776031500","2311.7209470000","3923.7216800000","2025-12-30 00:19:33-03","2025-12-30 05:02:05-03",NULL
5352,"28562F60A8D8","226.9080505000","22.2798175800","3361.5986330000","3769.3930660000","226.7843628000","22.8148078900","3351.1997070000","3932.1784670000","229.1167908000","23.2212619800","3556.6381840000","3949.3730470000","2025-12-30 00:20:01-03","2025-12-30 05:02:05-03",NULL
5353,"28562F60A8D8","227.8760681000","16.4699554400","623.1629028000","3692.6269530000","227.4418335000","17.4312191000","577.7798462000","3910.4438480000","230.0051880000","17.4409866300","793.4881592000","3925.5441890000","2025-12-30 00:20:31-03","2025-12-30 05:02:06-03",NULL
5354,"28562F60A8D8","227.8655396000","16.5353794100","609.9489746000","3709.5390630000","227.6815338000","17.5063133200","591.6456299000","3929.3933110000","230.3426971000","17.4387054400","792.1895752000","3930.3571780000","2025-12-30 00:21:02-03","2025-12-30 05:02:06-03",NULL
5355,"28562F60A8D8","227.4395447000","16.3873405500","618.8332520000","3669.3210450000","227.4718781000","17.2554168700","577.9481201000","3873.4255370000","229.6169586000","17.2653656000","768.2952881000","3884.6647950000","2025-12-30 00:21:32-03","2025-12-30 05:02:06-03",NULL
5356,"28562F60A8D8","228.3656006000","16.4571228000","620.7580566000","3698.4565430000","228.7191925000","17.5557479900","574.3027344000","3963.4724120000","230.7935181000","17.5388984700","810.7612305000","3958.4052730000","2025-12-30 00:22:02-03","2025-12-30 05:02:06-03",NULL
5357,"28562F60A8D8","228.1504059000","16.5099430100","609.0082397000","3709.1853030000","228.4942017000","17.5557193800","595.0156250000","3955.7790530000","230.4151917000","17.4184036300","799.0717163000","3926.6120610000","2025-12-30 00:22:33-03","2025-12-30 05:02:06-03",NULL
5358,"28562F60A8D8","229.3734436000","16.7827415500","606.2371826000","3793.3417970000","229.7870941000","17.9750213600","602.6603394000","4075.1801760000","232.0851898000","17.8171577500","833.3750610000","4043.1984860000","2025-12-30 00:23:01-03","2025-12-30 05:02:07-03",NULL
5359,"28562F60A8D8","227.1355438000","16.3528308900","606.8363037000","3656.6247560000","227.4445190000","17.4333457900","576.6263428000","3912.1081540000","229.5935211000","17.3145866400","798.0769653000","3888.1423340000","2025-12-30 00:23:31-03","2025-12-30 05:02:07-03",NULL
5360,"28562F60A8D8","228.4431610000","20.5720748900","2860.8332520000","3722.7282710000","228.2051392000","21.2039966600","2838.2148440000","3909.4836430000","230.5777283000","21.6279029800","3064.8666990000","3927.2089840000","2025-12-30 00:24:04-03","2025-12-30 05:02:07-03",NULL
5361,"28562F60A8D8","228.6701050000","16.6289768200","589.8107910000","3748.6604000000","228.8239746000","17.7557144200","601.6484375000","4007.6462400000","231.3281708000","17.5368652300","818.6041260000","3967.5925290000","2025-12-30 00:24:32-03","2025-12-30 05:02:07-03",NULL
5362,"28562F60A8D8","228.7635651000","16.6325607300","615.9404297000","3745.0957030000","229.4772949000","17.7016239200","593.3059692000","4004.9101560000","231.2367554000","17.6015205400","807.6335449000","3980.4394530000","2025-12-30 00:25:02-03","2025-12-30 05:02:07-03",NULL
5363,"28562F60A8D8","227.8095398000","22.6299152400","3548.2792970000","3732.3383790000","227.8984222000","23.0554943100","3507.4829100000","3901.7309570000","229.7563019000","23.6192073800","3725.7209470000","3937.1782230000","2025-12-30 00:25:32-03","2025-12-30 05:02:08-03",NULL
5364,"28562F60A8D8","227.2637634000","16.2476425200","612.4078979000","3632.5419920000","227.2086182000","17.1564502700","573.9274902000","3843.8232420000","229.0457306000","17.1400814100","771.7280884000","3842.4624020000","2025-12-30 00:26:13-03","2025-12-30 05:02:08-03",NULL
5365,"28562F60A8D8","225.8577423000","18.1032581300","1996.6960450000","3561.0083010000","225.6282959000","18.6849937400","1974.8906250000","3713.2397460000","228.2537842000","18.9619960800","2156.1809080000","3746.1005860000","2025-12-30 00:26:33-03","2025-12-30 05:02:08-03",NULL
5366,"28562F60A8D8","226.0317993000","16.1913147000","607.9674683000","3600.8005370000","226.5457458000","17.0484008800","584.8380127000","3806.0820310000","228.4110718000","17.0170860300","759.0011597000","3805.2568360000","2025-12-30 00:27:01-03","2025-12-30 05:02:08-03",NULL
5367,"28562F60A8D8","224.3201294000","18.2829303700","2134.8710940000","3494.8540040000","224.5238190000","18.8333492300","2114.4350590000","3651.0119630000","227.0518646000","19.1768322000","2295.1584470000","3693.2709960000","2025-12-30 00:27:39-03","2025-12-30 05:02:08-03",NULL
5368,"28562F60A8D8","224.4093018000","17.5991706800","1831.6038820000","3493.2712400000","224.2021027000","18.1675586700","1810.7697750000","3639.4458010000","226.9541321000","18.4177036300","1983.2849120000","3674.3261720000","2025-12-30 00:28:02-03","2025-12-30 05:02:09-03",NULL
5369,"28562F60A8D8","227.5483093000","16.2909317000","599.3707275000","3649.0285640000","227.4534149000","17.2324600200","578.9600830000","3863.7412110000","229.3035431000","17.1370334600","777.0665894000","3843.9887700000","2025-12-30 00:28:32-03","2025-12-30 05:02:09-03",NULL
5370,"28562F60A8D8","226.2896576000","17.9367561300","1854.3612060000","3603.7121580000","226.8439331000","18.5232887300","1825.2692870000","3774.0668950000","228.6039124000","18.7937107100","1993.7779540000","3799.1799320000","2025-12-30 00:29:23-03","2025-12-30 05:02:09-03",NULL
5371,"28562F60A8D8","226.2837219000","18.5698337600","2141.9650880000","3608.4167480000","226.4188995000","19.2122402200","2129.2106930000","3782.6511230000","229.0641479000","19.5065040600","2324.1335450000","3809.5717770000","2025-12-30 00:29:33-03","2025-12-30 05:02:09-03",NULL
5372,"28562F60A8D8","226.1895905000","17.8551120800","1867.0360110000","3574.0029300000","226.0885925000","18.4016075100","1843.1888430000","3718.9926760000","228.1242981000","18.6251564000","2007.8306880000","3737.8095700000","2025-12-30 00:30:33-03","2025-12-30 05:02:09-03",NULL
5373,"28562F60A8D8","226.1665802000","18.4580326100","2130.5292970000","3583.7324220000","225.9835358000","18.9073391000","2087.9416500000","3717.3732910000","228.0709991000","19.2510509500","2256.8139650000","3760.2312010000","2025-12-30 00:31:01-03","2025-12-30 05:02:10-03",NULL
5374,"28562F60A8D8","225.7956390000","16.5671157800","960.6654663000","3607.4028320000","226.4131012000","17.0236320500","945.6334229000","3723.6169430000","228.5230255000","17.1218643200","1045.1623540000","3763.8610840000","2025-12-30 00:31:32-03","2025-12-30 05:02:10-03",NULL
5375,"28562F60A8D8","225.2828369000","31.3373947100","5751.7089840000","4087.2666020000","225.4871368000","31.3945827500","5722.2065430000","4156.3461910000","228.1021881000","32.0569191000","5918.7583010000","4281.8374020000","2025-12-30 00:32:20-03","2025-12-30 05:02:10-03",NULL
5376,"28562F60A8D8","226.1546326000","22.0705471000","3396.1640630000","3651.5605470000","226.6990814000","22.6068840000","3456.3686520000","3774.6591800000","229.0568085000","22.7548275000","3589.2373050000","3771.0197750000","2025-12-30 00:32:32-03","2025-12-30 05:02:10-03",NULL
5377,"28562F60A8D8","227.1248779000","18.6686058000","2110.7248540000","3670.5632320000","227.1963348000","19.2569713600","2093.1701660000","3830.9743650000","229.0905762000","19.4913806900","2262.9802250000","3842.6601560000","2025-12-30 00:33:03-03","2025-12-30 05:02:10-03",NULL
5378,"28562F60A8D8","229.1873322000","16.7205638900","596.5424194000","3776.3737790000","229.3952637000","17.8661823300","604.1528320000","4041.4523930000","230.9193115000","17.6058120700","817.9085083000","3975.0559080000","2025-12-30 00:34:01-03","2025-12-30 05:02:11-03",NULL
5379,"28562F60A8D8","228.7488861000","18.5381298100","2013.5181880000","3726.1142580000","228.5441284000","19.3232994100","2012.3511960000","3918.1394040000","230.5051422000","19.4972152700","2203.9575200000","3910.5373540000","2025-12-30 00:34:31-03","2025-12-30 05:02:11-03",NULL
5380,"28562F60A8D8","228.8944702000","16.5952968600","586.4827271000","3743.2192380000","228.9166565000","17.8417263000","591.9543457000","4027.5947270000","230.8519287000","17.5562191000","830.8700562000","3958.3564450000","2025-12-30 00:35:02-03","2025-12-30 05:02:11-03",NULL
5381,"28562F60A8D8","226.5396118000","23.1036891900","3671.5588380000","3724.1826170000","227.3878784000","23.8470554400","3737.8950200000","3919.4252930000","229.3883209000","24.0941886900","3920.5478520000","3888.3378910000","2025-12-30 00:35:35-03","2025-12-30 05:02:11-03",NULL
5382,"28562F60A8D8","228.1759644000","16.5352764100","586.5322876000","3717.8056640000","229.0377808000","17.7882938400","599.8137207000","4016.4255370000","230.7883759000","17.4993248000","822.1666260000","3945.5346680000","2025-12-30 00:36:02-03","2025-12-30 05:02:11-03",NULL
5383,"28562F60A8D8","226.3472595000","27.7678947400","4920.1401370000","3904.4047850000","227.1095123000","28.4212226900","5032.0732420000","4031.7675780000","229.0491486000","28.5682506600","5163.8452150000","4008.9958500000","2025-12-30 00:36:33-03","2025-12-30 05:02:12-03",NULL
5384,"28562F60A8D8","228.9490509000","16.5952148400","583.4823608000","3744.2385250000","229.0325623000","17.8881111100","586.4807739000","4040.9479980000","230.8897247000","17.6046848300","835.6569214000","3969.2275390000","2025-12-30 00:37:01-03","2025-12-30 05:02:12-03",NULL
5385,"28562F60A8D8","227.7917328000","18.8414707200","2197.9702150000","3679.7709960000","228.5089111000","19.5951347400","2221.6447750000","3876.8847660000","229.8812561000","19.7116851800","2385.2766110000","3845.8935550000","2025-12-30 00:37:31-03","2025-12-30 05:02:12-03",NULL
5386,"28562F60A8D8","227.8109741000","16.5301494600","579.2307129000","3711.9643550000","228.5667572000","17.7200145700","616.6806030000","3990.5888670000","230.5727692000","17.3796768200","816.6987305000","3915.8615720000","2025-12-30 00:38:04-03","2025-12-30 05:02:12-03",NULL
5387,"28562F60A8D8","228.0571289000","18.6089668300","2106.9475100000","3676.8210450000","228.0896606000","19.4123745000","2101.1889650000","3886.5507810000","230.1063690000","19.6096878100","2312.2910160000","3867.3972170000","2025-12-30 00:38:32-03","2025-12-30 05:02:13-03",NULL
5388,"28562F60A8D8","228.3787689000","18.7138767200","2111.2551270000","3708.8227540000","228.3276215000","19.4751472500","2084.7976070000","3916.7487790000","230.3870544000","19.7721386000","2306.3322750000","3920.6081540000","2025-12-30 00:39:02-03","2025-12-30 05:02:13-03",NULL
