t_inicio,estado_global
2026-01-12T05:10:50-03:00,trabajo_efectivo
2026-01-12T05:10:55-03:00,trabajo_efectivo
2026-01-12T05:11:00-03:00,trabajo_efectivo
2026-01-12T05:11:05-03:00,trabajo_efectivo
2026-01-12T05:11:11-03:00,reposo_operativo
2026-01-12T05:11:16-03:00,reposo_operativo
2026-01-12T05:11:21-03:00,reposo_operativo
2026-01-12T05:11:26-03:00,reposo_operativo
2026-01-12T05:11:31-03:00,reposo_operativo
2026-01-12T05:11:36-03:00,reposo_operativo
2026-01-12T05:11:41-03:00,reposo_operativo
2026-01-12T05:11:46-03:00,reposo_operativo
2026-01-12T05:11:51-03:00,reposo_operativo
2026-01-12T05:11:56-03:00,reposo_operativo
2026-01-12T05:12:01-03:00,reposo_operativo
2026-01-12T05:12:09-03:00,reposo_operativo
2026-01-12T05:12:14-03:00,reposo_operativo
2026-01-12T05:12:19-03:00,reposo_operativo
2026-01-12T05:12:24-03:00,reposo_operativo
2026-01-12T05:12:29-03:00,reposo_operativo
2026-01-12T05:12:34-03:00,reposo_operativo
2026-01-12T05:12:39-03:00,reposo_operativo
2026-01-12T05:12:44-03:00,reposo_operativo
2026-01-12T05:12:49-03:00,reposo_operativo
2026-01-12T05:12:54-03:00,reposo_operativo
2026-01-12T05:12:59-03:00,trabajo_efectivo
2026-01-12T05:13:04-03:00,trabajo_efectivo
2026-01-12T05:13:09-03:00,trabajo_efectivo
2026-01-12T05:13:14-03:00,trabajo_efectivo
2026-01-12T05:13:19-03:00,trabajo_efectivo
2026-01-12T05:13:24-03:00,trabajo_efectivo
2026-01-12T05:13:29-03:00,trabajo_efectivo
2026-01-12T05:13:34-03:00,trabajo_efectivo
2026-01-12T05:13:39-03:00,trabajo_efectivo
2026-01-12T05:13:44-03:00,trabajo_efectivo
2026-01-12T05:13:50-03:00,reposo_operativo
2026-01-12T05:13:55-03:00,reposo_operativo
2026-01-12T05:14:00-03:00,reposo_operativo
2026-01-12T05:14:05-03:00,reposo_operativo
2026-01-12T05:14:10-03:00,reposo_operativo
2026-01-12T05:14:15-03:00,reposo_operativo
2026-01-12T05:14:20-03:00,reposo_operativo
2026-01-12T05:14:25-03:00,reposo_operativo
2026-01-12T05:14:30-03:00,reposo_operativo
2026-01-12T05:14:35-03:00,trabajo_efectivo
2026-01-12T05:14:40-03:00,trabajo_efectivo
2026-01-12T05:14:45-03:00,trabajo_efectivo
2026-01-12T05:14:50-03:00,trabajo_efectivo
2026-01-12T05:14:55-03:00,trabajo_efectivo
2026-01-12T05:15:00-03:00,trabajo_efectivo
2026-01-12T05:15:05-03:00,trabajo_efectivo
2026-01-12T05:15:10-03:00,trabajo_efectivo
2026-01-12T05:15:15-03:00,trabajo_efectivo
2026-01-12T05:15:20-03:00,trabajo_efectivo
2026-01-12T05:15:26-03:00,reposo_operativo
2026-01-12T05:15:31-03:00,reposo_operativo
2026-01-12T05:15:36-03:00,reposo_operativo
2026-01-12T05:15:41-03:00,reposo_operativo
